Indonesian Lemma,Indonesian Definition,Banjarese Lemma,Banjarese Definition
kasemek,"nama pohon dan buahnya, rasanya seperti pepaya, bentuknya bulat, Diospyros kaki",GAP,
bandos,makanan dibuat dr ubi kayu; makanan (kue) yg dibuat dr tepung beras ketan yg dicampur dng gula dan parutan kelapa,GAP,
daging kuda,daging dari kuda,GAP,
ikan tuna,"ikan yang hidup di laut, ukurannya mencapai panjang 140 cm, berat 60,3 kg, umur 9 tahun, hidup di perairan tropis (Thunnus alalunga)",iwak tuna,"iwak laut nang memiliki tubuh besar, biasanya ditemukan di perairan hangat. iwak ini dikenal karena dagingnya yang padat dan bernilai gizi tinggi, sering digunakan dalam masakan seperti sushi dan sashimi"
susu kuda liar,susu yang diperas dari kuda liar yang hidup di daerah perkebunan atau padang rumput di Pulau Sumbawa,GAP,
kacang tanah,"kacang yang buahnya tertanam di tanah, bijinya yang lezat dan gurih sebagai bahan minyak goreng, dibuat berbagai makanan, seperti selai, kacang, gula kacang, sambal kacang (Arachis hypogaea)",kacang hili,kacang nang buahnya tertanam di tanah
pempek kapal selam,"pempek dalam ukuran lebih besar yang berbentuk seperti kerang, di dalamnya diisi telur",pempek kapal selam,pempek nang babantuk kaya kapal selam baisi intalu
vetsin,"bumbu tambahan untuk menyedapkan masakan berupa serbuk berwarna putih bersih, monosodium glutamat sebagai bahannya",vetsin,nang sejenis garam tetapi lebih bening kek pecahan kaca gasan bumbu tambahan penyedap rasa
anggur,"minuman keras tradisional yang dimasak dengan menggunakan gula merah, nanas, dan lain-lain",GAP,
sawo,"pohon, bercabang rendah, kayunya berat awet, buahnya dapat dimakan; sawo kecik; Manilkara kauki",sawu,sawu manilkara zapota adalah puhun buah nang ba umur panjang puhun dan buahnya dipinandui pakai babarapa nama umpamanya sawo ind jw sauh atawa sauh manila atawa ciku mly
merica,tanaman merambat spt sirih yg biji buahnya bulat kecil rasanya pedas biasanya digunakan untuk bumbu masakan dan ramuan jamu; lada; Piper nigrum,sahang; merica,"sabuting tanaman nang banyak baisi kandungan kimia, nang kaya minyak sahang, minyak lamak, lawan pati"
ikan nila,"ikan yang bentuknya seperti ikan mujair, tetapi pada badan, ekor, sirip punggung, dan sirip duburnya terdapat garis-garis vertikal, makanannya terdiri atas lumut-lumutan, plankton, dan sisa-sisa organik yang membusuk (Tilapia nilotica)",Iwak nila,iwak nang sering dibudi dayakan karena mudah berkembang biak dan memiliki daging yang lezat.
ayam pop,"masakan khas Sumatra Barat, terbuat dari ayam kampung yang dilepas kulitnya, ditumis dengan mentega bersama bumbu, seperti salam, serai, dan lengkuas, direbus dengan air kelapa sampai empuk dan matang",GAP,
pempek kulit,"pempek yang terbuat dari kulit ikan (dapat dicampur dengan daging ikan), bentuknya bundar dan pipih, berwarna agak gelap",pempek kulit,pempek nang babantuk pipih lawan bulat
kue cokelat,kue dengan rasa cokelat,wadai coklat,wadai nang bawarna cuklat
teh ragi,"teh yang difermentasi sebelum dikeringkan, berwarna hitam",GAP,
ikan kerapu macan,"kerapu dengan ukuran mencapai panjang 120 cm, berat 11 kg, umur mencapai 40 tahun (Epinephelus fuscoguttatus)",GAP,
pemanis artifisial,"pemanis buatan yang digunakan sebagai pengganti gula, misalnya sakarin dan aspartam",GAP,
jus pepaya,sari buah pepaya,jus kastela,"jus nang terbuat matan pepaya minuman yang dihaluskan, biasanya dicampur dengan air dan pemanis"
kolostrum,"air susu yg berwarna kekuning-kuningan yg keluar beberapa hari setelah bersalin, banyak mengandung zat telur tertentu dan zat antikuman yg sangat berguna bagi bayi; air susu jolong",GAP,
gula tepung,"gula pasir yang dihancurkan secara mekanis sehingga tidak ada kristal-kristal yang tertinggal, biasanya dicampur dengan sedikit pati atau bahan anti kempal untuk mencegah penggumpalan",GAP,
jamur pelawan,"jamur khas Bangka Belitung, tumbuh di sekitar hutan pelawan, tumbuh pada musim hujan, berwarna merah muda, mengandung madu yang berkhasiat untuk obat; kulat pelawan",GAP,
ketan srikaya,nasi ketan yg dimakan dng air gula campur santan (nama penganan),ketan srikaya,"ketan dimasak dengan campuran santan dan gula merah, kemudian diberi lapisan srikaya, yaitu selai yang terbuat dari telur, santan, dan gula"
rum,minuman keras,GAP,
bawang bakung,"bawang yang umbinya memanjang berwarna putih, berdaun geronggang; bawang bakung; bawang cina; bawang prei (Allium fistulosum)",GAP,
pakan kucing,makanan yang diberikan untuk kucing,pakan kucing,makanan yang diberikan kepada kucing untuk memenuhi kebutuhan gizi dan kesehatannya
pisang barangan,pisang yang tumbuh di Sumatra Utara yang dapat langsung dimakan apabila sudah matang,GAP,
timi,"terna yang tumbuh tegak atau menanjak, bercabang banyak, tingginya mencapai 30 cm, batangnya persegi, daunnya kecil berbentuk lonjong (Thymus vulgaris)",GAP,
kacang arab,"kacang yang berbentuk bulat menyerupai kemiri dengan ujung agak runcing dan berwarna krem, mengandung protein, karbohidrat, dan serat yang tinggi, biasanya dijadikan oleh-oleh sepulang berhaji (Cicer arietinum)",kacang arab,"kacang yang berasal dari tanaman chickpea atau garbanzo, yang biasanya berukuran kecil, dan berbentuk bulat"
gula kapas,permen kapas,gula kapas,gula nang dipanaskan dan dikristalisasi menjadi serat-serat halus yang ringan dan berbulu
jahe,"tumbuhan berakar serabut (umbinya pedas rasanya, dipakai sebagai aromatik, bumbu dapur, atau obat), berdaun lonjong dan lancip, bunganya berbulir; halia (Zingiber officinale)",tipakan,tanaman rimpang nang liwar tasuhur gasan rarampah wan bahan ubat/tatamba
emping,"penganan yg dibuat dr padi (buah melinjo atau biji-bijian dsb) ditumbuk tipis-tipis, dikeringkan, lalu digoreng",amping,semacam karupuk seperti emping matan ubi kayu
sakarin,serbuk hablur putih (dipakai sbg pengganti gula),GAP,
susu bubuk,air susu lembu yang dikeringkan dan dijadikan bubuk,GAP,
lobi-lobi,"buah sebesar kelereng yg merah warnanya, rasanya asam manis, berbiji banyak, untuk dibuat rujak, asinan, atau selai; Flacourtia lenermis",GAP,
gula buah,zat gula yang berasal dari buah,gula buah,gula nang berasal dari buah
bubur mutiara,bubur dengan bahan utama sagu mutiara yang diberi kuah santan,bubur mutiara,Bubur yang diulah dari sagu mutiara
ayam tangkap,"lauk berupa ayam goreng yang sebelumnya sudah diberi bumbu dan daun-daunan seperti daun kari, daun pandan terlebih dahulu, disajikan dengan cara meletakkan daun-daunan tersebut menutupi ayam",GAP,
keripik,"penganan dibuat dr kentang, pisang, ubi kayu, dsb diiris tipis-tipis lalu digoreng",keripik,"makanan ringan nang diulah dari bahan dasar seperti singkong, kentang, atau buah yang dipotong tipis-tipis, habistuh digoreng hingga kering dan renyah"
bubur kacang hijau,"bubur yang dibuat dari kacang hijau, direbus dengan garam, gula merah dan daun pandan sebagai pengharum, dimakan dengan ditambah santan rebus",bubur kacang hijau,Bubur yang diulah dari kacang hijau dibari santan lawan gula habang
air susu ibu,air susu yang berasal dari payudara ibu yang memiliki anak bayi,GAP,
kemiri,"nama pohon, buahnya berkulit keras, isinya digunakan untuk bumbu masak, Aleurites mokiccana",GAP,
bumbu halus,bumbu dasar yang dihaluskan,bumbu halus,bumbu yang sudah dihaluskan
camilan,makanan ringan,camilan,makanan ringan
dadar gulung,"kue terbuat dr tepung terigu dicampur telur, digoreng dl bentuk yg tipis dan rata, diisi dng kelapa dan gula, kemudian digulung",GAP,
beras pecah kulit,"butir padi yang kulitnya sudah dilepaskan, tetapi belum disosoh",GAP,
kembili,"tumbuhan yg umbinya biasa dikukus (tidak biasa digoreng) untuk dimakan, Coleus tuberosus",GAP,
barbeku,"makanan (daging, ikan, dan sebagainya) yang dipanggang",GAP,
beras organik,beras yang berasal dari padi yang ditanam tanpa menggunakan pupuk kimia,GAP,
nasi gandul,"nasi dengan sayur yang terdiri atas daging sapi atau kerbau yang dimasak dengan santan, disajikan di atas piring yang dialasi daun pisang",GAP,
kembang kol,"sayuran berdaun besar memusar, gumpalan perbungaannya padat membonggol membulat seperti bola, berwarna putih atau krem, gagangnya pendek mendaging; blumkol (Brassica de race aver. Botrytis)",GAP,
opor,"gulai (ayam, itik dsb) yg dimasak dng santan dan rempah rempah",opor,makanan nang terdiri dari daging ayam atau bahan lainnya yang dimasak dalam kuah santan berbumbu kuning
sasyimi,"makanan khas Jepang berupa irisan daging ikan mentah, biasanya dihidangkan bersama syoyu dan wasabi",GAP,
jeruk keprok,"jeruk manis yang pohonnya berbatang rendah, buahnya berwarna oranye, kulitnya mudah dikupas, celah dagingnya lekang",GAP,
susu kocok,"minuman dingin yang terbuat dari susu, es krim, dan bahan penyedap lain, yang dikocok (dengan blender dan sebagainya) hingga kental dan berbusa",GAP,
teh kuning,"teh langka yang diproses melalui pengeringan lambat sehingga daunnya dibiarkan mulai menguning, memiliki bau dan rasa yang khas, berfungsi sebagai penangkal radikal bebas",GAP,
jamur trufel,"salah satu jenis jamur konsumsi yang sangat langka dan mahal, bertekstur kenyal dan padat, berwarna hitam pekat, hanya terdapat di Eropa (Tuber magnatum)",GAP,
kue sus,kue ringan berbentuk bulat dgn rongga berisi krim vla,GAP,
alkohol,minuman keras,GAP,
pasta gula,"pasta halus yang terbuat dari gula yang direbus, biasanya diwarnai atau dibumbui, digunakan sebagai isian atau lapisan luar untuk kue, kacang, atau buah",GAP,
gula intrinsik,"gula yang tidak berbahaya bagi gigi dan kesehatan, terdapat dalam buah-buahan dan sayuran",GAP,
susu kambing,air susu yang didapatkan dari kambing,susu kambing,susu nang barasal dari kambing
diet alergi,pola makan untuk menghindari alergi,GAP,
nasi pulut,nasi ketan,nasi lakatan,nasi ketan
pisang aroma,"penganan berupa pisang yang ditaburi gula pasir, digulung dengan kulit lumpia kemudian digoreng, biasa ditambahkan dengan potongan keju atau cokelat di dalamnya",GAP,
pisang kapik,"makanan khas Sumatra Barat, terbuat dari pisang kepok yang dibakar utuh di atas arang batok kelapa, setelah matang dipipihkan sampai melebar kemudian diberi unti",GAP,
kismis,buah anggur yg dikeringkan dan dihilangkan bijinya,kismis,"buah anggur yang telah dikeringkan, sehingga menjadi kering dan manis"
pempek telur,"pempek berisi telur berbentuk menyerupai pempek kapal selam, tetapi berukuran kecil",pempek hintalu,pempek nang baisi intalu
taco,"penganan khas Meksiko berupa panekuk jagung goreng tanpa ragi atau tortila yang diisi dengan daging cincang berbumbu, keju, kacang-kacangan, dan lain-lain",GAP,
kuning telur,bagian telur yang berbentuk bulat dan berwarna kuning yang terletak pada bagian tengah telur,kuning hintalu,bagian kuning dari hintalu yang terletak di tengah-tengah putih telur
air belanda,minuman terbuat dari air yang mengandung gas karbon (dioksida),GAP,
makanan segar,"makanan yang masih segar, misalnya buah yang baru dipetik atau sayuran yang baru dipanen",makanan sigar,"makanan nang masih sigar, hanyar diambil atau dipanen"
roti tawar,"roti yg hanya dibuat dr adonan tepung terigu saja, tanpa dicampur bahan lain",ruti tawar,"roti yang dibuat dari tepung terigu yang telah melalui proses penggilingan dan pemutihan, sehingga warnanya putih dan teksturnya lembut"
beras konversi,"beras yang direndam, dikukus, dan dikeringkan dengan menggunakan tekanan uap agar biji beras menjadi keras, lalu digiling untuk membuang kulit luarnya",GAP,
tempe,"makanan untuk lauk nasi, dibuat dr kedelai dsb yg diberi ragi",timpi,makanan nang diulah dari kacang kedelai
anggur,minuman dari sari buah anggur yang difermentasi,GAP,
lontong,"makanan yg dibuat dr beras dibungkus dng daun pisang, kemudian dikukus sampai matang",lontong,makanan nang terbuat dari beras yang dikukus dalam daun pisang hingga padat dan berwarna putih
semur,"masakan (daging, ayam, hati, jengkol) berkuah yg di-bumbui lada, kecap, dsb",semur,"masakan yang biasanya terbuat dari daging atau ayam yang dimasak dengan bumbu kecap manis, bawang merah, bawang putih, dan rempah-rempah lainnya hingga bumbu meresap dan kuahnya kental"
pempek pastel,"pempek berbentuk menyerupai kue pastel, biasanya berisi serutan pepaya muda, tetapi ada juga yang tidak berisi; pempek pastel",GAP,
ikan makerel,"ikan, bentuknya panjang dan langsing, punggungnya kehitam-hitaman, perutnya bersinar keperak-perakan, mengandung zat lemak tinggi, hidup di perairan tropis, tersebar di perairan Atlantik Utara (Scomberomorus scombrus)",iwak makerel,"Iwak laut nang tergolong dalam keluarga Scombridae, dikenal karena dagingnya yang berlemak dan kaya akan omega-3"
teh talua,minuman khas Minang yang terbuat dari kuning telur yang dikocok dengan kayu rotan berujung terbelah sampai putih kemudian dicampur dengan seduhan teh dan air perasan jeruk nipis,GAP,
sandung lamur,"daging sapi yang berasal dari bagian dada bawah sekitar ketiak, lebih berlemak daripada bagian yang lain; brisket",GAP,
teh susu,teh yang dicampur dengan susu atau krim,tih susu,teh nang bacampur lawan susu
kaldu ayam,air kuah dari daging ayam,GAP,
goreng,segala sesuatu yg digoreng,goreng,makanan nang di goreng
kelepon,"kue yg dibuat dr tepung pulut yg dibulat-bulatkan, diisi gula merah, dan dilumuri kelapa parut",kalalapun,kalalapun kelelpon basa indunisia klepon adalah wadai khas indunisia khususnya di martapura kabupatin banjar kalimantan salatan nang bantuknya bulat biasanya bawarna hijau matan daun pandan wan mamakai parutan nyiur di dalamnya ada gula habang wayah mamakan kalalapun maka gula habang langsung kaluar wayah diigut wadai ini rancak dimakan sagan papuluran nang dimakan lawan minuman nang hangat wadai ini kawa ditamui di pasar atawa bajaja di jalan khususnya di bulan ramadan
ayam panggang,masakan dari ayam yang dipanggang,ayam panggang,"ayam nang dipanggang dengan bumbu (saos, tomat, dan lainnya) lalu dipotong cincang."
kerupuk udang,kerupuk yg bahannya dr tepung dan udang,GAP,
tahu kupat,"makanan yang terbuat dari tahu goreng, ketupat, dan taoge, diberi kuah berbumbu bawang putih, cabai, gula merah, cuka, rasanya masam-masam manis",tahu kupat,tahu yang digoreng dan disajikan dengan kuah kacang atau bumbu lain
es krim cokelat,es krim dengan rasa cokelat,es krim coklat,es krim dengan rasa cukelat
tapai,"penganan yg dibuat dr beras ketan (ubi kayu dsb) yg direbus dan setelah dingin diberi ragi, kemudian dibiarkan semalam atau lebih hingga manis",tapai,wadai nang bawarna hijau bulat halus rasanya asam-asam manis
kentang merah,"kentang yang berkulit tipis (berasal dari jenis kentang Desire), daging umbinya merah, dan berkhasiat menurunkan tekanan darah tinggi",GAP,
pisang ijo,pisang rebus yang diolesi adonan tepung ketan yang diberi pewarna hijau,GAP,
tetelan,"sisa daging yg melekat di tulang (berupa campuran daging, urat, lemak, dsb) yg telah dikelupas dr tulang dan dipotong-potong",tetelan,Potongan kecil-kecil daging dan lemak
pangsit,"makanan yang dibuat dari adonan tepung terigu dan daging cincang, digoreng atau direbus",pangsit,"Makanan kecil berbentuk seperti kantong atau dumpling yang biasanya diisi dengan daging, sayuran, atau bahan lainnya, lalu direbus, digoreng, atau dikukus"
soto Padang,"soto khas Padang dengan kuah berwana cokelat kekuningan, berisi daging sapi goreng, sohun, perkedel kentang, dan sebagainya",soto padang,"Soto ini dikenal dengan kuah kaldu sapi yang kental, berwarna kuning, dan bumbu rempah yang kuat"
ketupat ketan,"ketupat khas Kapau, terbuat dari ketan yang dimasak dalam santan berbumbu",GAP,
gula palem,gula yang terbuat dari nira tanaman palem,gula palem,gula nang terbuat dari nira atau air kelapa yang diproses hingga mengental dan menjadi padat
gula kastor,"gula yang bertekstur lebih lembut daripada gula pasir, biasanya digunakan untuk membuat kue basah yang bertekstur lembut atau campuran adonan kue kering",GAP,
jeruk sitrun,"buah jeruk yang berkulit keras, berwarna kuning muda dan berbau enak, daging buahnya sangat asam (Citrus limon)",GAP,
semangka,"tumbuhan menjalar, buahnya bulat dan besar, daging buahnya berwarna kuning, atau merah banyak mengandung air dan manis",GAP,
kopi arab,"tumbuhan buahnya boleh dibuat sayur, Abelmaschus esculentus",GAP,
bayam Jepang,"sayuran mirip bayam, daunnya melebar di bagian bawah dan menyempit pada ujungnya, tangkai daunnya panjang, permukaan daunnya halus dengan pinggiran bergerigi besar, warnanya hijau; horenso",GAP,
gandasturi,"kue yg terbuat dr kacang hijau dan gula merah, dibentuk menjadi bundar kecil, dilapisi terigu dan digoreng",GAP,
teh paraguai,"minuman seperti teh yang dibuat dari daun tumbuhan perdu Ilex paraguagensis yang mengandung kafeina, rasanya manis pedas, menimbulkan gairah dan sebagai penambah tenaga",GAP,
gurita,"sefalopoda bertubuh bulat, pendek, dan fleksibel, memiliki delapan tentakel yang dilengkapi selaput renang, berwarna abu-abu pucat atau putih, dapat berkamuflase, tersebar di seluruh lautan (Enteroctopus sp.)",GAP,
jeli apel,jeli dengan rasa apel,GAP,
beri,"buah-buahan yang terbentuk dari bakal buah tunggal, berukuran kecil, kenyal, berbiji, misalnya buah buni dan bluberi",GAP,
murbei,"tumbuhan perdu, daunnya mirip daun kembang sepatu yg dapat dijadikan makanan ulat sutera, buahnya agak masam dapat dimakan atau dibuat bahan sirup",murbei,"buah halus berwarna merah, ungu, atau hitam yang tumbuh pada tanaman murbei"
keripik sanjai,"penganan khas Minang, terbuat dari singkong yang diiris tipis dan digoreng, diberi bumbu garam dan dapat juga diberi tambahan bumbu balado",GAP,
jambu bol,"buah jambu yang dagingnya tebal, warna buah yang masak merah tua, ada yang putih, bijinya besar, tunggal, dan bulat; jambak (Syzygium malaccense)",jambu agung,jambu agung jambu bol adalah puhun buah kukulaan jambu jambuan buah jambu naini baisi tekstur daging nang talambut dan tapadat dibandingkan awan jambu aer disambat jua jambu bol tagal kada pati jelas kanapa maka dingarani damintu marga bol bahasa melayu atawa bool bahasa sunda baarti burit
cuka,"barang cair yg masam rasanya, dibuat dr nira dsb",cuka,cairan nang rasanya masam
ubi kentang,"ubi yg bentuknya bulat-bulat dr umbi tumbuhan yg masuk jenis sayuran, Solanum tuberosym, menjadi makanan pokok di negeri Barat",gumbili kentang,"ubi yang memiliki bentuk dan tekstur mirip dengan kentang, tetapi berasal dari jenis ubi"
nangka belanda,sirsak,nangka balanda,buah nang memiliki kulit berduri dan daging buah berwarna putih dengan rasa yang manis dan sedikit masam
kopi bubuk,kopi yg telah ditumbuk halus-halus,GAP,
sambal botol,sambal olahan pabrik yang dikemas dalam botol,GAP,
kue koci,"kue yang dibuat dari tepung pulut, berisi kacang hijau yang dicampur gula merah",GAP,
jamur oncom,"jamur yang digunakan dalam pembuatan oncom, misalnya Neurospora sitophila untuk oncom merah dan Rhizopus oligosporus untuk oncom hitam",GAP,
marmelade,"selai yang dibuat dari jeruk, warnanya tidak sepekat selai, biasanya diberi potongan buah atau kulit jeruk",GAP,
bakso tenis,bakso berukuran besar menyerupai bola tenis,GAP,
kopi,"tumbuhan yg banyak ditanam di Asia dan Afrika, buahnya digoreng dan ditumbuk halus-halus dijadikan bahan minuman; kahwa",kupi,sajanis minuman nang barasal matan proses pangulahan dan ekstraksi bigi tanaman kupi
roti unyil,roti yg dibentuk kecil-kecil dng beraneka ragam rasa,ruti unyul,"roti kecil yang berbentuk bulat atau mini, biasanya berisi berbagai macam isian seperti cokelat, keju, atau selai"
pemanis bergizi,pemanis yang dapat menambah nilai energi pada pangan,GAP,
soto Bandung,"soto khas Bandung dengan kuah bening, berisi daging sapi, lobak, kacang kedelai, dan sebagainya",soto Bandung,"sup tradisional dari daerah Bandung yang terbuat dari daging sapi, tulang sapi, dan rempah-rempah. Hidangan ini sering disajikan dengan kuah kaldu yang bening, potongan daging sapi, dan disertai dengan bawang goreng, daun bawang, serta sering disajikan bersama dengan ketupat atau nasi"
minuman diet,minuman rendah kalori,GAP,
