Banjarese Lemma,Banjarese Definition,Indonesian Lemma,Indonesian Definition
mantah,balum masak balum waktunya gasan dijatu,mentah,makanan yang belum di masak atau di goreng
saray,salah satu guna saray nang lain adalah baunya kawa digunaakan gasan mengusir mamburu nyamuk baik salagi baujud tatanaman atawa jua minyaknya,serai,saray
bidara,sajanis puhun halus panghasil buah nang tumbuh di dairah karing,GAP,
hampap,sayur santan dengan ikan asin,GAP,
satrup,satrup atawa sirup matan basa arab sharab minuman anggur minuman wan online etymology dictionary syrup adalah cacahar nang likat wan baisi kadar gula talarut nang tinggi tagal parak kadada baisi kacandarungan gasan mangandapakan kristal kalikatan satrup marga ulih banyaknya ikatan hidrogen antara gugus hidroksil oh pada molekul gula talarut lawan molekul banyu nang malarutakannya,sirup,minuman segar yang dibuat dari campuran sirup dan es batu
babungku,"nama kuih matan tepung baras, santan, dan gula merah dibungkus dengan daun pisang, dikukus",babungku,makanan yang terbuat dari ketan yang dikukus dan diberi isian manis seperti kelapa parut dan gula merah
kancur,kancur kaempferia galanga l adalah ngaran tanaman hirbal nang baisi manpaat pananamba tanaman ngini hidup di dairah trupis duwa subrtrupis kancur dipakai gasan industri lawan didapur nang kada hasan tatamba haja tagal dipakai juwa gasan dimakan diminum nang bagus gasan kasihatan,kencur,"tanaman yang mempunyai akar batang yang tertanam di dalam tanah, biasa dipakai untuk bahan rempah-rempah dan ramuan obat; Bagian tanaman kencur yang sering digunakan adalah rimpang, akar dan daun."
pacal,pacal atawa pecel adalah makanan nang diulah matan sayur bajarang kaya kacang panjang bayam kacambah nang dilingir lawan kuah sambal kacang pecel nomina makanan yang terdiri atas sayuran rebus seperti kacang panjang bayam taoge yang disiram dengan kuah sambal kacang dan sebagainya,pecel,"makanan yang terdiri atas sayuran rebus, seperti kacang panjang, bayam, taoge yang disiram dengan kuah sambal kacang dan sebagainya."
bingka,wadai has Banjar nang rasanya liwar manis,bingka,"kue yang terbuat dari tepung, gula, telur, dan santan, biasanya dibentuk dalam loyang dan dipanggang hingga matang"
roti taboon,roti taboon adalah roti datar matan timur tengah roti taboon adalah sabuah wrap nang dipakai dalam babarapa masakan jenis roti datar ngini biasanya dipanggang dalam panggang tabun wan dipasangi lawan isian nang balainan,GAP,
babal,buah nangka yang masih sangat kecil,GAP,
langsat roko,"sejenis langsat yang bentuk buahnya lebih bulat, kulit lebih tebal, biji lebih besar, dan rasa lebih asam",GAP,
karupuk gumbili,karupuk nang diulah matan ubi,kerupuk singkong; kerupuk ubi,kerupuk yang berasal dari singkong
papare,papare momordica charantia suku waluh waluhan atawa cucurbitaceae adalah sejenis tanaman malancar awan buahnya panjang bagerigi dan runcing hujungnya buahnya nang berasa pahit biasa diulah sabagai sayur pariannya pada gado gado pecel rendang atau gulai,GAP,
rabuk,rabuk atawa jabu adalah daging cincang nang sudah dilembut akan dididihakan imbah itu disanga biasanya warnanya soklat tarang sampay pinda hirang jabu tampilannya kaya serat musababnya inya dasar didominasi ulih serat serat otot nang sudah karing daging sapi rancak diguna akan gasan meulah jabu tapi ada jua jabu hayam babi iwak wan kambing,abon,"makanan yg dibuat dr daging sapi, ayam, ikan yg direbus, lalu dicabik-cabik menurut seratnya, diberi bumbu kemudian digoreng"
kapul,kapul baisian ngaran ilmiah baccaurea macrocarpa buah kapul tamasuk buah khas asli kalimantan atawa urang manyambat buah indigenous nang takapinggirakan bahkan manpaat nutrisi di dalamnya dianggap kada talalu panting ngaran lain nang dipinandui matan buah ini adalah tampoi,GAP,
hundang talampis,hundang laut kacui nang membuat terasi dsb,GAP,
kakulih,ngaran wadai taulah matan galapung baras dibari pandan harum disumap nang kaya agar agar dimakan bakuah gula habang,GAP,
hundang sapit,hundang nang sapit dan basapit,udang sapit,udang kecil yang bisa sapit
lakatan serundeng,lakatan serunding adalah wadai khas indunisia khususnya bubuhan betawi wan banjar nang tadiri matan lakatan nang dibari serundeng sarunding atawa nyiur parut nang dicampur lawan gula habang daun limau daun salam lawan asam kamal,lakatan serundeng,wadai khas banjar nang ditambahi serundeng
kelemben,kelemben atawa wadai kelemben atawa ada jua nang manyambat kulambin bahasa indunisia bolu adalah wadai nang diulah matan bahan dasar galapung gula lawan hintalu kelemben biasanya dipanggang tagal ada jua pang nang disumap wadai ngini rancak dipakai gasan makanan panutup imbah makan atawa jua gasan wadai istimewa gasan acara kawinan atawa ulang tahun,bolu,"kue yg dibuat dr adonan tepung terigu, telur, gula pasir, dsb"
risturan hancap surung,rumah makan nang manyurungakan makanan wan kinuman dalam waktu rilatip satumat matan panampahan sampai panyurungan ka palanggan rancaknya surungan barupa hamburger atawa ayam basanga,rumah makan siap saji,rumah makan yang menghidangkan makanan dan minuman dalam waktu relatif singkat dari pemesanan sampai penyajian kepada pelanggan.
gangan asam patin,sayur asam yang ditambahi ikan patin,GAP,
pais waluh,panganan dari waluh nang dibungkus daun pisang,GAP,
durian,"ngaran tumbuhan tarupis nang bamula matan Asia Tanggara, sakaligus ngaran buahnya nang kawa dimakan",durian,"jenis tumbuhan yg buahnya berkulit tebal dan berduri, Durio zibethinus"
tih limau,tih nang ditambahi limau,teh limau,teh yang di kasih perasan limau
