English Concept,Concept Description,Maba lemmas or Gap,Maba Definition
cousin,the child of your aunt or uncle,GAP,
male cousin,the child of your aunt or uncle if the speaker is female,GAP,
cousin (female speaking),the son of your uncle or a son of your aunt,GAP,
female cousin,the the daughter of your uncle or the daughter of your aunt,GAP,
male cousin (male speaking),the son of your uncle or a son of your aunt if the speaker is male,GAP,
male cousin (female speaking),the son of your uncle or a son of your aunt if the speaker is female,GAP,
elder cousin,the the daughter of your uncle or the daughter of your aunt if the speaker is male,GAP,
female cousin (male speaking),the oldest of a group of cousins,GAP,
younger cousin,the youngest of a group of cousins,GAP,
elder male cousin,the oldest of a group of male cousins,GAP,
elder female cousin,the oldest of a group of female cousins,GAP,
younger male cousin,the youngest of a group of male cousins,GAP,
younger female cousin,the youngest of a group of female cousins,GAP,
elder male cousin (male speaking),the oldest of a group of male cousins if the speaker is male,GAP,
elder female cousin (female speaking),the oldest of a group of female cousins if the speaker is female,GAP,
younger male cousin (male speaking),the youngest of a group of male cousins if the speaker is male,GAP,
younger female cousin (female speaking),the youngest of a group of female cousins if the speaker is female,GAP,
child of father's sibling,son or daughter of a father's brother or sister ,GAP,
child of mother's sibling,son or daughter of a mother's brother or sister ,GAP,
child of father's brother,son or daughter of a father's brother ,mammik na kalak,XX
child of mother's brother,son or daughter of a father's sister ,malmik nà kalak,XX
child of father's sister,son or daughter of a mother's brother ,mignek na kalak,XX
child of mother's sister,son or daughter of a mother's sister ,mignign nà tuk nà kalak,XX
son of parent's brother,a male human offspring of parent's brother,GAP,
daughter of parent's brother,a female human offspring of parent's brother,GAP,
daughter of parent's sister,a male human offspring of parent's sister,GAP,
son of parent's sister,a female human offspring of parent's sister,GAP,
son of mother's sibling,a male human offspring of mother's sibling,GAP,
daughter of mother's sibling,a female human offspring of mother's sibling,GAP,
son of father's brother,a male human offspring of father's brother,Mugndjougoulak,XX
daughter of father's brother,a female human offspring of father's brother,kankulak,XX
daughter of father's sister,a male human offspring of father's sister,GAP,
son of father's sister,a female human offspring of father's sister,GAP,
son of mother's brother,a male human offspring of mother's brother,GAP,
daughter of mother's brother,a female human offspring of mother's brother,GAP,
son of mother's sister,a male human offspring of mother's sister,GAP,
daughter of mother's sister,a female human offspring of mother's sister,GAP,
daughter of father's brother (male speaking),a male human offspring of father's brother if the speaker is male,GAP,
son of father's brother (male speaking),a male human offspring of father's brother if the speaker is female,GAP,
son of father's brother (female speaking),a female human offspring of father's brother if the speaker is male,GAP,
daughter of father's brother (female speaking),a female human offspring of father's brother if the speaker is female,GAP,
son of mother's sister (male speaking),a male human offspring of mother's sister if the speaker is male,GAP,
son of mother's sister (female speaking),a male human offspring of mother's sister if the speaker is female,GAP,
daughter of mother's sister (female speaking),a female human offspring of mother's sister if the speaker is male,GAP,
daughter of mother's sister (male speaking),a female human offspring of mother's sister if the speaker is female,GAP,
"elder, son of father's brother",the oldest of a group of male humans offspring of father's brother,GAP,
"younger, son of father's brother",the youngest of a group of male humans offspring of father's brother,GAP,
"elder, daughter of father's brother",the oldest of a group of female humans offspring of father's brother,GAP,
"younger, daughter of father's brother",the youngest of a group of female humans offspring of father's brother,GAP,
"younger, son of father's sister",the oldest of a group of male humans offspring of father's sister,GAP,
"elder, son of father's sister",the youngest of a group of male humans offspring of father's sister,GAP,
"elder, daughter of father's sister",the oldest of a group of female humans offspring of father's sister,GAP,
"younger, daughter of father's sister",the youngest of a group of female humans offspring of father's sister,GAP,
"elder, son of mother's sibling",the oldest of a group of male humans offspring of mother's sibling,GAP,
"younger, son of mother's sibling",the youngest of a group of male humans offspring of mother's sibling,GAP,
"elder, daughter of mother's sibling",the oldest of a group of female humans offspring of mother's sibling,GAP,
"younger, daughter of mother's sibling",the youngest of a group of female humans offspring of mother's sibling,GAP,
grandchild,a child of your son or daughter ,Kolouyok ,XX
