English Concept,Concept Description,Turkish Lemmas,Turkish Definitions
auncle,the brother of your father or mother; the husband of your aunt,GAP,no target lemma
aunt,the brother of your father or mother; the husband of your aunt,GAP,no target lemma
breastfeeding brother,[eng] A male person who has the same breastfeeding woman as another person,GAP,no target lemma
breastfeeding sister,[eng] A male person who has the same mother as another person,GAP,no target lemma
brother,a male with the same parents as someone else if the speaker is female,Erkek kardeş,Bir kimsenin erkek cinsten kardeşi
brother (female speaking),a female person who has the same parents as another person if the speaker is male,GAP,no target lemma
brother (male speaking),a male with the same parents as someone else,GAP,no target lemma
brother's child,the son of someone's brother,GAP,Birine göre kardeşin erkek çocuğu
brother's child (female speaking),the son of someone's brother if the speaker is female,GAP,no target lemma
brother's daughter,the female human offspring of someone's brother,GAP,no target lemma
brother's daughter (male speaking),the female human offspring of someone's brother if the speaker is male,GAP,no target lemma
brother's son,the male human offspring of someone's brother,GAP,no target lemma
brother's son (female speaking),the male human offspring of someone's brother if the speaker is female,GAP,no target lemma
brother's son (male speaking),the male human offspring of someone's brother if the speaker is male,GAP,no target lemma
child of father's brother,son or daughter of a father's brother ,"amcaçocuğu, emmiçocuğu",babanın erkek kardeşinin çocuğu
child of father's sibling,son or daughter of a father's brother or sister ,GAP,no target lemma
child of father's sister,son or daughter of a mother's brother ,halaçocuğu,babanın kız kardeşinin çocuğu
child of mother's brother,son or daughter of a father's sister ,dayıçocuğu,annenin erkek kardeşinin çocuğu
child of mother's sibling,son or daughter of a mother's brother or sister ,GAP,no target lemma
child of mother's sister,son or daughter of a mother's sister ,teyzeçocuğu,annenin kız kardeşinin çocuğu
cousin,the child of your aunt or uncle,GAP,no target lemma
cousin (female speaking),the son of your uncle or a son of your aunt,GAP,no target lemma
daughter of father's brother,a female human offspring of father's brother,"amcakızı, emmikızı",babanın erkek kardeşinin kız çocuğu
daughter of father's brother (female speaking),a female human offspring of father's brother if the speaker is female,GAP,no target lemma
daughter of father's brother (male speaking),a male human offspring of father's brother if the speaker is male,GAP,no target lemma
daughter of father's sister,a male human offspring of father's sister,halakızı,babanın kız kardeşinin kız çocuğu
daughter of mother's brother,a female human offspring of mother's brother,dayıkızı,annenin erkek kardeşinin kız çocuğu
daughter of mother's sibling,a female human offspring of mother's sibling,GAP,no target lemma
daughter of mother's sister,a female human offspring of mother's sister,teyzekızı,annenin kız kardeşinin kız çocuğu
daughter of mother's sister (female speaking),a female human offspring of mother's sister if the speaker is male,GAP,no target lemma
daughter of mother's sister (male speaking),a female human offspring of mother's sister if the speaker is female,GAP,no target lemma
daughter of parent's brother,a female human offspring of parent's brother,GAP,no target lemma
daughter of parent's sister,a male human offspring of parent's sister,GAP,no target lemma
daughter's child,a human offspring (son or daughter) of any age of a son,GAP,no target lemma
daughter's child (female speaking),a human offspring (son or daughter) of any age of a adaughter if the speaker is female,GAP,no target lemma
daughter's child (male speaking),a human offspring (son or daughter) of any age of a adaughter if the speaker is male,GAP,no target lemma
daughter's daughter,a son of someone's daughter,GAP,no target lemma
daughter's daughter (female speaking),[eng] eldest child (the offspring who came first in the order of birth),GAP,no target lemma
daughter's daughter (male speaking),a daughter of someone's daughter if the speaker is female,GAP,no target lemma
daughter's son,a daughter of someone's daughter,GAP,no target lemma
daughter's son (female speaking),a son of someone's daughter if the speaker is male,GAP,no target lemma
daughter's son (male speaking),a daughter of someone's son if the speaker is female,GAP,no target lemma
elder brother,the youngest of a group of brothers,"ağabey, ağa, abi",no target lemma
elder brother (female speaking),the oldest of a group of brothers if the speaker is female,GAP,no target lemma
elder brother (male speaking),the oldest of a group of brothers if the speaker is male,GAP,no target lemma
elder brother's child,the male human offspring of someone's sister if the speaker is female,GAP,no target lemma
elder brother's child (male speaking), the youngest of a group of brother's sons if the speaker is male,GAP,no target lemma
elder brother's daughter, the oldest of a group of the female human offspring of someone's brother,GAP,no target lemma
elder brother's son, the oldest of a group of brother's children,GAP,no target lemma
elder cousin,the the daughter of your uncle or the daughter of your aunt if the speaker is male,GAP,no target lemma
elder female cousin,the oldest of a group of female cousins,GAP,no target lemma
elder female cousin (female speaking),the oldest of a group of female cousins if the speaker is female,GAP,no target lemma
elder male cousin,the oldest of a group of male cousins,GAP,no target lemma
elder male cousin (male speaking),the oldest of a group of male cousins if the speaker is male,GAP,no target lemma
elder sibling,the oldest of a group of siblings,GAP,no target lemma
elder sister,the youngest of a group of siblings,"abla, aba",no target lemma
elder sister (female speaking),the youngest of a group of brothers if the speaker is male,GAP,no target lemma
elder sister (male speaking),the oldest of a group of sisters if the speaker is male,GAP,no target lemma
elder sister's child, the youngest of a group of sister's sons,GAP,no target lemma
elder sister's child (female speaking), the oldest of a group of sister's sons if the speaker is female,GAP,no target lemma
elder sister's daughter, the oldest of a group of the female human offspring of someone's sister,GAP,no target lemma
elder sister's son, the youngest of a group of the female human offspring of someone's brother,GAP,no target lemma
"elder, daughter of father's brother",the oldest of a group of female humans offspring of father's brother,GAP,no target lemma
"elder, daughter of father's sister",the oldest of a group of female humans offspring of father's sister,GAP,no target lemma
"elder, daughter of mother's sibling",the oldest of a group of female humans offspring of mother's sibling,GAP,no target lemma
"elder, son of father's brother",the oldest of a group of male humans offspring of father's brother,GAP,no target lemma
"elder, son of father's sister",the youngest of a group of male humans offspring of father's sister,GAP,no target lemma
"elder, son of mother's sibling",the oldest of a group of male humans offspring of mother's sibling,GAP,no target lemma
eldest child,a daughter of someone's daughter if the speaker is male,GAP,no target lemma
father's elder brother,the oldest of father's brothers,GAP,no target lemma
father's elder sister,the youngest of father's brothers,GAP,no target lemma
father's sibling,A brother of someone's father,GAP,no target lemma
father's younger brother,the oldest of father's sisters,GAP,no target lemma
father's younger sibling, the youngest of father's brothers or sisters ,GAP,no target lemma
father's younger sister,the youngest of father's sisters,GAP,no target lemma
female cousin,the the daughter of your uncle or the daughter of your aunt,kuzin,"Birine göre teyze, dayı, amca ve halanın kız çocuğu"
female cousin (male speaking),the oldest of a group of cousins,GAP,no target lemma
full brother,[eng] A male person who has the same parents as another person,GAP,no target lemma
full brother's daughter,[eng] the son of female person who has the same parents as another person,GAP,no target lemma
full brother's son,[eng] the son of male person who has the same parents as another person,GAP,no target lemma
full sister,[eng] A female person who has the same parents as another person,GAP,no target lemma
full sister's daughter,[eng] the daughter of male person who has the same parents as another person,GAP,no target lemma
full sister's son,[eng] the daughter of female person who has the same parents as another person,GAP,no target lemma
grandchild,a child of your son or daughter ,torun,Bir kimseye göre çocuğunun çocuğu
grandchild (female speaking),a child of your son or daughter if the speaker is male,GAP,no target lemma
grandchild (male speaking),a female grandchild,GAP,no target lemma
granddaughter,a child of your son or daughter if the speaker is female,kız torun,Bir kimseye göre çocuğunun kız çocuğu
granddaughter (female speaking),a female grandchild if the speaker is female,GAP,no target lemma
granddaughter (male speaking),a female grandchild if the speaker is male,GAP,no target lemma
grandfather,the father of your father or mother,"dede, büyükbaba",anne-babanın babası
grandfather (female speaking),the mother of your father or mother if the speaker is male,GAP,no target lemma
grandfather (male speaking),the father of your father or mother if the speaker is male,GAP,no target lemma
grandmother,a parent of your father or mother if the speaker is female,"büyükanne, nine",anne-babanın annesi
grandmother (female speaking),the mother of your father or mother if the speaker is female,GAP,no target lemma
grandmother (male speaking),the father of your father or mother if the speaker is female,GAP,no target lemma
grandparent,a parent of your father or mother,GAP,no target lemma
grandparent (female speaking),a parent of your father or mother if the speaker is male,GAP,no target lemma
grandparent (male speaking), your grandparents on your mother's side,GAP,no target lemma
grandson,a male grandchild,erkek torun,Bir kimseye göre çocuğunun erkek çocuğu
grandson (female speaking),a male grandchild  if the speaker is female,GAP,no target lemma
grandson (male speaking),a male grandchild  if the speaker is male,GAP,no target lemma
male cousin,the child of your aunt or uncle if the speaker is female,kuzen,"Birine göre teyze, dayı, amca ve halanın erkek çocuğu"
male cousin (female speaking),the son of your uncle or a son of your aunt if the speaker is female,GAP,no target lemma
male cousin (male speaking),the son of your uncle or a son of your aunt if the speaker is male,GAP,no target lemma
maternal aunt,A sister of someone's mother,teyze,annenin kız kardeşi
maternal brother,[eng] A female person who has the same breastfeeding woman as another person,GAP,no target lemma
maternal grandfather, your grandfather on your mother's side,GAP,no target lemma
maternal grandmother, your grandmother on your father's side,anneanne,annenin annesi
maternal grandmother (female speaking), your grandmother on your mother's side if the speaker is female,GAP,no target lemma
maternal grandmother (male speaking), your grandmother on your mother's side if the speaker is male,GAP,no target lemma
maternal grandparent,the mother of your father or mother,GAP,no target lemma
