Lemma,Gloss,Arabic lemmas (or gap),Arabic Gloss
name,a language unit by which a person or thing is known,اسم,هو اللفظ الذي يُستخدم للإشارة إلى شخص أو شيء، ويُميز كل فرد أو كائن عن الآخرين.
"again, once again, once more, over again",anew,GAP,تعني تكرار شيء ما أو العودة إلى القيام بشيء حدث سابقًا.
"feed, give",give food to,يُطعم,تقديم الطعام لشخص أو حيوان، أو توفير الغذاء له.
boil,cook in boiling liquid,يغلي,ارتفاع درجة حرارة السائل إلى حد يبدأ فيه بالتبخر ويتكون فيه فقاعات.
deaf,lacking or deprive of the sense of hearing wholly or in part,أصم,يفتقر أو يُحرَم من حاسة السمع كليًا أو جزئيًا.
"arise, rise, uprise, get up, stand up",rise to one's feet,ينهض,ينهض على قدميه
thing,a separate and self-contained entity,شيء,مصطلح عام يُستخدم للإشارة إلى أي عنصر أو مادة أو فكرة، دون تحديد نوعه أو طبيعته.
ask,make a request or demand for something to somebody,يسأل,طلب شيء أو الاستفسار عنه.
hence,from this place,GAP,
gruel,a thin porridge (usually oatmeal or cornmeal),عصيدة,هي نوع من الطعام السائل المصنوع عادة من دقيق أو حبوب مطبوخة مع الماء أو الحليب.
"object, physical object",a tangible and visible entity; an entity that can cast a shadow,كائن,كيان ملموس ومرئي؛ كيان يمكنه أن يلقي ظلاً.
"side, face",a surface forming part of the outside of an object,وجه,الجزء الخارجي أو السطح لكائن.
"grave, tomb",a place for the burial of a corpse (especially beneath the ground and marked by a tombstone),قبر,هو مكان يُدفن فيه جثمان شخص بعد وفاته، وغالبًا ما يكون محددًا بعلامة أو شواهد.
"sit down, sit",take a seat,يجلس, الانتقال إلى وضعية الجلوس.
"eye, oculus, optic",the organ of sight,عين,هي العضو المسؤول عن الرؤية
"sink, drop, drop down",fall or drop to a lower place or level,يسقط,يسقط أو ينخفض إلى مكان أو مستوى أدنى
"boundary line, border, borderline, delimitation, mete",a line that indicates a boundary,حدود,خط يحدد الحدود
"taste, taste sensation, gustatory sensation, taste perception, gustatory perception",the sensation that results when taste buds in the tongue and throat convey information about the chemical composition of a soluble stimulus,طعم ,الإحساس الناتج عندما تنقل براعم التذوق في اللسان معلومات عن الطعم.
"person, individual, someone, somebody, mortal, soul",a human being,شخص,كائن بشري
"relish, flavor, flavour, sapidity, savor, savour, smack, nip, tang",the taste experience when a savoury condiment is taken into the mouth,نكهة,هي الإحساس الذي نشعر به عندما نأكل توابل لذيذة.
"animal, animate being, beast, brute, creature, fauna",a living organism characterized by voluntary movement,حيوان,كائن حي يتغذى وينمو ويتحرك بشكل طوعي.
"tear, rupture, snap, bust",separate or cause to separate abruptly,تمزق,هو انفصال أو قطع شيء إلى جزئين أو أكثر بشكل مفاجئ
break,destroy the integrity of; usually by force; cause to separate into pieces or fragments,يكسر,يعني فصل شيء إلى جزئين أو أكثر عن طريق القوة.
