Lemma,Gloss,Banjarese lemmas (or gap),Banjarese Gloss
deaf,lacking or deprive of the sense of hearing wholly or in part,"tuli, manuli",kada mandangar
long,primarily spatial sense; of relatively great or greater than average spatial extension or extension as specified,panjang,ukurannya panjang
short,(primarily spatial sense) having little length or lacking in length,handap,ukurannya handap
full,containing as much or as many as is possible or normal,hibak,"takarannya hibak, banyak urang"
empty,holding or containing nothing,puang,"kadada baisi, kadada urang"
"blind, unsighted",unable to see,picak,kada malihat
precious,of high worth or cost,baharga,barang atau urang baharga
"blue, bluish, blueish",of the color intermediate between green and violet; having a color similar to that of a clear unclouded sky,biru tarang,warna biru tarang
pointed,having a point,landap,potongan dan banda landap
"beloved, darling, dear",dearly loved,ayang,urang kasayangan kita
"green, greenish, light-green, dark-green",of the color between blue and yellow in the color spectrum; similar to the color of fresh grass,hijau,warna hijau rumput
"red, reddish, ruddy, blood-red, carmine, cerise, cherry, cherry-red, crimson, ruby, ruby-red, scarlet",of a color at the end of the color spectrum (next to orange); resembling the color of blood or cherries or tomatoes or rubies,habang,warna habang
powerful,having great power or force or potency or effect,"tagah, gancang, tahan","energinya tagah, gancang, tahan"
"two, 2, ii",being one more than one,"dua, tadua",labih dari sabuting
"stingy, ungenerous",unwilling to spend,pamalar,"kada handak babarian, beimit"
"one, 1, i, ane",used of a single unit or thing; not two or more,asa,"jumlahnya satu/sebuting, kata ganti urang nang paawalan"
"four, 4, iv",being one more than three,ampat ,"jumlahnya ampat, labih dari tiga"
"three, 3, iii",being one more than two,talu,"jumlahnya talu, labih dari dua"
"six, 6, vi, half dozen, half-dozen",denoting a quantity consisting of six items or units,anam,"jumlahnya anam, labih dari lima"
"five, 5, v",being one more than four,lima,"jumlahnya lima, labih dari ampat"
"eight, 8, viii",being one more than seven,dalapan,"jumlahnya dalapan, labih dari pitung"
"seven, 7, vii",being one more than six,pitung,"jumlahnya pitung, labih dari anam"
"ten, 10, x",being one more than nine,sapuluh,"jumlahnya pitung, labih dari anam"
"nine, 9, ix",denoting a quantity consisting of one more than eight and one less than ten,sanga,"jumlahnya sanga, labih dari dalapan"
"twelve, 12, xii, dozen",denoting a quantity consisting of 12 items or units,duawalas,"jumlahnya duawalas, labih dari sawalas"
"eleven, 11, xi",being one more than ten,sawalas,"jumlahnya sawalas, labih dari sapuluh"
"twenty, 20, xx",denoting a quantity consisting of 20 items or units,dua puluh,"jumlahnya dua puluh, labih dari sangawalas"
"yellow, yellowish, xanthous",of the color intermediate between green and orange in the color spectrum; of something resembling the color of an egg yolk,kuning,warnanya kuning
warm,having or producing a comfortable and agreeable degree of heat or imparting or maintaining heat,ladar,awaknya ladar
"thirty, 30, xxx",being ten more than twenty,talungpuluh,"jumlahnya talungpuluh, labih dari dua puluh sanga"
cool,neither warm nor very cold; giving relief from heat,dingin,"makanan dingin, cuaca dingin, parasaan dingin"
"forty, 40, xl, twoscore",being ten more than thirty,patangpuluh,"jumlahnya patangpuluh, labih dari talungpuluh sanga"
"grey, gray, greyish, grayish",of an achromatic color of any lightness intermediate between the extremes of white and black,habuk,warna habuk
"fifty, 50, l",being ten more than forty,lima puluh,"lima puluh urang/ikung, duit, benda, wayah, jumlah, umur"
"sixty, 60, lx, threescore",being ten more than fifty,anam puluh,jumlahnya anam puluh
good,having desirable or positive qualities especially those suitable for a thing specified,bagus,"cuacanya bagus, bandanya bagus, wadahnya bagus"
"seventy, 70, lxx",being ten more than sixty,tujuh puluh,jumlahnya tujuh puluh
black,being of the achromatic color of maximum darkness; having little or no hue owing to absorption of almost all incident light,hirang,warnanya hirang
white,being of the achromatic color of maximum lightness; having little or no hue owing to reflection of almost all incident light,putih,warnanya putih
bad,having undesirable or negative qualities,buruk,bendanya buruk
"eighty, 80, lxxx, fourscore",being ten more than seventy,dalapan puluh,jumlahnya dalapan puluh
"ninety, 90, xc",being ten more than eighty,sambilan puluh,jumlahnya sambilan puluh
"hundred, one hundred, 100, c",being ten more than ninety,saratus,jumlahnya saratus
"ill, sick",affected by an impairment of normal physical or mental function,garing,"kada sihat, balum bigas"
evil,morally bad or wrong,jahat,sifatnya jahat
"ripe, mature",fully developed or matured and ready to be eaten or used,matang,umurnya bujang
"thousand, one thousand, 1000, m, k","denoting a quantity consisting of 1,000 items or units",saribu,jumlahnya saribu
"second, 2nd, 2d",coming next after the first in position in space or time or degree or magnitude,kadua,urutannya kadua
wet,covered or soaked with a liquid such as water,basah,kondisinya balum karing
