Lemma,Gloss,Persian lemmas (or gap),Persian Gloss
name,a language unit by which a person or thing is known,"نام، اسم",یک واحد زبانی جهت تشخیص یک شی یا شخص
"again, once again, once more, over again",anew,"دوباره، مجددا، باری دیگر",از نو
"feed, give",give food to,"غذا دادن، دادن",غذا دادن به
boil,cook in boiling liquid,"جوشاندن، آب‌پز کردن",پختن در مایع درحال جوش
deaf,lacking or deprive of the sense of hearing wholly or in part,"کر، ناشنوا",کسی که گوشش اصلا نمی‌شنود و یا به درستی کار نمی‌کند.
"arise, rise, uprise, get up, stand up",rise to one's feet,"برخاستن، بلند شدن، ایستادن، برپا شدن، به پا خواستن",بر روی دو پا ایستادن
thing,a separate and self-contained entity,"چیز، شیء",یک موجودیت مجزا و مستقل
ask,make a request or demand for something to somebody,"طلب کردن، درخواست کردن، خواهش کردن",تقاضا کردن یک چیز یا یک شخص
hence,from this place,gap,از این مکان
gruel,a thin porridge (usually oatmeal or cornmeal),حریره,نوعی فرنی رقیق (معمولا آرد ذرت)
"object, physical object",a tangible and visible entity; an entity that can cast a shadow,"شیء، شیء فیزیکی",موجودیتی ملموس و قابل مشاهده؛ موجودیتی که می‌تواند سایه ایجاد کند
"side, face",a surface forming part of the outside of an object,"طرف، روی",سطح تشکیل دهنده بخش خارجی یک جسم
"grave, tomb",a place for the burial of a corpse (especially beneath the ground and marked by a tombstone),"قبر، مقبره",محلی برای دفن جسد (به ویژه زیر زمین که با یک سنگ قبر مشخص شده است)
"sit down, sit",take a seat,نشستن,بر روی جا و یا صندلی‌ای قرار گرفتن
"eye, oculus, optic",the organ of sight,"چشم، دیده",اندام بینایی
"sink, drop, drop down",fall or drop to a lower place or level,"ته نشینی، فرو رفتن، نشست کردن",افتادن یا فرو رفتن به یک مکان یا سطح پایین‌تر
"boundary line, border, borderline, delimitation, mete",a line that indicates a boundary,"خط مرز، مرز",خطی که یک مرز را تعیین می‌کند
"taste, taste sensation, gustatory sensation, taste perception, gustatory perception",the sensation that results when taste buds in the tongue and throat convey information about the chemical composition of a soluble stimulus,"مزه، طعم","احساس و ادراکی که پس از تاثیر یک شی بر روی حس ذائقه حاصل می‌شود و ناشی از ترکیب شیمیایی آن شی است، مانند شوری و تلخی و شیرینی"
"person, individual, someone, somebody, mortal, soul",a human being,"شخص، نفر، کس، تن، فرد",یک انسان
"relish, flavor, flavour, sapidity, savor, savour, smack, nip, tang",the taste experience when a savoury condiment is taken into the mouth,gap,تجربه‌ای که هنگام چشیدن یک چیز خوش طعم حاصل می‌شود
"animal, animate being, beast, brute, creature, fauna",a living organism characterized by voluntary movement,"حیوان، موجود جاندار، جانور، موجود",یک موجود زنده که به صورت ارادی حرکت می‌کند
"tear, rupture, snap, bust",separate or cause to separate abruptly,"پاره کردن، گسیختن",جدا شدن یا دلیل جدا شدن ناگهانی
break,destroy the integrity of; usually by force; cause to separate into pieces or fragments,شکاندن,خراب کردن; معمولا با استفاده از زور; دلیل تبدیل شدن یک چیز به قطعات تشکیل دهنده آن
time,the continuum of experience in which events pass from the future through the present to the past,"زمان، وقت، ساعت","جریانی پیوسته، غیر قابل انقطاع، رونده، و بی آغاز و بی انجام که در طی آن، حوادثی برگشت ناپذیر از گذشته به حال تا آینده رخ می دهد"
"tone, pure tone",a steady sound without overtones,لحن,صدایی ثابت و موزون
sore,an open skin infection,"زخم، جراحت",آزردگی و خراش یا بریدگی عضوی ازاعضای بدن که از آن خون وچرک بیاید
"immediately, instantly, straightaway, straight off, directly, now, right away, at once, forthwith, in real time, like a shot",without delay or hesitation; with no time intervening,"فورا، بلافاصله، مستقیما، بلادرنگ",بدون تاخیر یا تردید; بدون فاصله زمانی
"now, at present",at the present moment,"اکنون، حالا، اینک",در همین لحظه
needle,a sharp pointed implement (usually steel),سوزن,ابزاری نوک تیز (معمولا فلزی)
"measure, quantity, amount",how much there is of something that you can quantify,"کمیت، مقدار",مقدار موجود از یک چیز قابل اندازه‌گیری
"corner, nook",an interior angle formed be two meeting walls,گوشه,یک زاویه داخلی تشکیل شده از برخورد دو دیوار
game,an amusement or pastime,بازی,نوعی سرگرمی یا تفریح
"happen, hap, go on, pass off, occur, pass, fall out, come about, take place",come to pass,اتفاق افتادن,روی دادن و پیش آمدن و وقوع
"letter, missive",a written message addressed to a person or organization,نامه,یک پیام نوشته‌شده خطاب به یک شخص یا سازمان
ear,the sense organ for hearing and equilibrium,گوش,اندام حسی برای شنوایی و تعادل
long,primarily spatial sense; of relatively great or greater than average spatial extension or extension as specified,"طولانی، دراز، طویل",بزرگ یا بزرگتر از حد متوسط یک چیز نسبت به آن‌چه از آن انتظار می‌رود
"hog, pig, grunter, squealer, sus scrofa",domestic swine,gap,خوک اهلی
"net, network, mesh, meshing, meshwork",an open fabric of string or rope or wire woven together at regular intervals,شبکه,ریسمان یا طناب یا سیم‌هایی که در فواصل منظم به هم بافته شده‌اند
"pain, pain sensation, painful sensation",a somatic sensation of acute discomfort,"درد، احساس درد، رنج، احساس دردناک",نوعی احساس ناراحتی جسمی
"urge, urge on, press, exhort",force or impel in an indicated direction,"اصرار کردن، تشویق کردن",مجبور کردن یا فشار آوردن جهت انجام یک کار
"center, centre, middle, heart, eye",an area that is approximately central within some larger region,"مرکز، وسط، قلب",منطقه‌ای که تقریبا در مرکز یک منطقه بزرگتر قرار دارد
"trace, draw, line, describe, delineate",make a mark or lines on a surface,ترسیم کردن,ایجاد علامت یا خطوط بر روی یک سطح
"heat, warmth",the sensation caused by heat energy,گرما,احساس ناشی از انرژی گرمایی
