Lemma,Gloss,Turkish lemmas (or gap),Target Gloss
name,a language unit by which a person or thing is known,"ad, isim","Bir kimseyi, bir şeyi anlatmaya, tanımlamaya, açıklamaya, bildirmeye yarayan söz"
"again, once again, once more, over again",anew,"tekrar, yeniden, bir kez daha, bir daha, yeni baştan",bir olayın ya da bir şeyin tekrar meydana gelmesi.
"feed, give",give food to,"beslemek, vermek"," Bir canlının yaşaması, gelişmesi, varlığını sürdürebilmesi için gerekli besini vermek"
boil,cook in boiling liquid,haşlamak,fokurdayan sıvı içerisinde pişirmek
deaf,lacking or deprive of the sense of hearing wholly or in part,sağır,işitme duyusunun verimsiz çalışması ya da hiç çalışmaması
"arise, rise, uprise, get up, stand up",rise to one's feet,"kalkmak, yükselmek",Bir noktadan başka bir noktaya dikey yönde hareket etmek.
thing,a separate and self-contained entity,şey,"Belirsiz bir anlamda madde, eşya, söz, olay, eylem, durum vb.nin adı yerine kullanılır."
ask,make a request or demand for something to somebody,"sormak, istemek",Birine soru yönelterek herhangi bir konuda ondan bilgi istemek veya istekte bulunmak.
hence,from this place,buradan,bu bölgeden 
gruel,a thin porridge (usually oatmeal or cornmeal),GAP,
"object, physical object",a tangible and visible entity; an entity that can cast a shadow,nesne,"Belli bir ağırlığı ve oylumu, rengi, maddesi olan her türlü cansız varlık, şey, obje."
"side, face",a surface forming part of the outside of an object,"kenar, yüz",Bir cismi uzaydan ayıran yaygın bölümün bir parçası.  
"grave, tomb",a place for the burial of a corpse (especially beneath the ground and marked by a tombstone),"mezar, gömüt, kabir",Ölen birinin ya da bir hayvanın gömülü olduğu yer. 
"sit down, sit",take a seat,oturmak,Vücudun belden yukarısı dik duracak biçimde ağırlığı kaba etlere vererek bir yere yerleşmek
"eye, oculus, optic",the organ of sight,göz,görme organı
"sink, drop, drop down",fall or drop to a lower place or level,"çökmek, düşmek, yıkılmak",Bir şeyin sabit veya dikey durumunu kaybederek aşağı doğru hareket etmesi ya da yok olması durumu.
"boundary line, border, borderline, delimitation, mete",a line that indicates a boundary,"çizgi, sınır, hudut",Bir şeyin yayılabileceği veya genişleyebileceği son nokta.
"taste, taste sensation, gustatory sensation, taste perception, gustatory perception",the sensation that results when taste buds in the tongue and throat convey information about the chemical composition of a soluble stimulus,tat,"Canlıların besinlerdeki uçucu olmayan bileşikleri damak, boğaz ve dil yüzeyindeki mukoza noktaları aracılığıyla algıladığı duyum."
"person, individual, someone, somebody, mortal, soul",a human being,"kişi, birey, birisi, ölümlü, ruh",insan
"relish, flavor, flavour, sapidity, savor, savour, smack, nip, tang",the taste experience when a savoury condiment is taken into the mouth,lezzet,Ağız yoluyla alınan tat
"animal, animate being, beast, brute, creature, fauna",a living organism characterized by voluntary movement,"hayvan, canlı varlık, canavar, yabani, yaratık, hayvanat","Duygu ve hareket yeteneği olan, içgüdüleriyle hareket eden canlı."
"tear, rupture, snap, bust",separate or cause to separate abruptly,"yırtmak, koparmak, çatlatmak, patlatmak",ayırmak veya aniden ayrılmasına neden olmak
break,destroy the integrity of; usually by force; cause to separate into pieces or fragments,kırmak,Sert şeyleri vurarak veya ezerek parçalamak.
time,the continuum of experience in which events pass from the future through the present to the past,zaman,"Bir işin, bir oluşun içinde geçtiği, geçeceği veya geçmekte olduğu süre."
"tone, pure tone",a steady sound without overtones,GAP,
sore,an open skin infection,yara,Keskin bir şeyle veya bir vuruşla vücutta oluşan derin kesik.
"immediately, instantly, straightaway, straight off, directly, now, right away, at once, forthwith, in real time, like a shot",without delay or hesitation; with no time intervening,"hemen, anında, doğrudan, şimdi, derhal, çabucak, bir çırpıda, şipşak, bir solukta,  şimşek gibi",çok hızlı
"now, at present",at the present moment,"şimdi, şu an",İçinde bulunulan zaman.
needle,a sharp pointed implement (usually steel),iğne,"İnce, ucu sivri, bir ucunda iplik geçecek kadar deliği bulunan çelik araç."
